127.0.0.1 - - [10/Nov/2020:16:25:28 -0800] "GET / HTTP/1.1" 200 11415
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:25:33 -0800] "GET /CS157A-01/login.html HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:25:33 -0800] "GET /CS157A-01/css/login.css HTTP/1.1" 200 5175
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:25:33 -0800] "GET /CS157A-01/js/login.js HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:25:33 -0800] "GET /CS157A-01/images/bg.jpg HTTP/1.1" 200 312684
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:26:00 -0800] "POST /CS157A-01/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:26:00 -0800] "GET /CS157A-01/index.html HTTP/1.1" 200 8735
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:26:00 -0800] "GET /CS157A-01/css/style.css HTTP/1.1" 200 130683
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:26:00 -0800] "GET /CS157A-01/css/colors/green.css HTTP/1.1" 200 2217
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:26:00 -0800] "GET /CS157A-01/images/recipeThumb-01.jpg HTTP/1.1" 200 42758
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:26:00 -0800] "GET /CS157A-01/images/recipeThumb-06.jpg HTTP/1.1" 200 67656
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:26:00 -0800] "GET /CS157A-01/images/recipeThumb-02.jpg HTTP/1.1" 200 49949
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:26:00 -0800] "GET /CS157A-01/images/recipeThumb-03.jpg HTTP/1.1" 200 36265
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:26:00 -0800] "GET /CS157A-01/images/recipeThumb-04.jpg HTTP/1.1" 200 33118
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:26:00 -0800] "GET /CS157A-01/images/recipeThumb-05.jpg HTTP/1.1" 200 24999
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:26:00 -0800] "GET /CS157A-01/images/recipeThumb-07.jpg HTTP/1.1" 200 46219
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:26:00 -0800] "GET /CS157A-01/images/recipeThumb-08.jpg HTTP/1.1" 200 47091
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:26:00 -0800] "GET /CS157A-01/images/recipeThumb-09.jpg HTTP/1.1" 200 41206
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:26:00 -0800] "GET /CS157A-01/css/base.css HTTP/1.1" 200 7447
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:26:00 -0800] "GET /CS157A-01/css/responsive.css HTTP/1.1" 200 12822
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:26:00 -0800] "GET /CS157A-01/css/font-awesome.css HTTP/1.1" 200 26651
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:26:00 -0800] "GET /CS157A-01/fonts/fontawesome-webfont.woff?v=4.2.0 HTTP/1.1" 200 65452
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:26:04 -0800] "POST /CS157A-01/login.jsp HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:26:12 -0800] "POST /CS157A-01/login.jsp HTTP/1.1" 200 38
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:26:24 -0800] "POST /CS157A-01/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Nov/2020:16:26:24 -0800] "GET /CS157A-01/index.html HTTP/1.1" 304 -
